country,handle,contribution,contest_count,organization,problem_count,avg_difficulty,avg_difficulty20,median,dp,hashing,Other,combinatorics,ternary search,probabilities,bitmasks,binary search,graph matchings,geometry,dfs and similar,games,brute force,shortest paths,divide and conquer,strings,math,graphs,string suffix structures,data structures,implementation,trees,sortings,two pointers,matrices,dsu,constructive algorithms,greedy,number theory,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,Alinus,0,21,DA-IICT,183,1165.5737704918033,1627.7777777777778,1100,11,3,2,5,0,0,2,7,2,2,9,3,29,1,0,20,52,5,0,7,99,3,20,8,0,3,25,37,11,45,56,39,22,12,7,2,0,0,0,0,0,0
India,hhvys,0,65,DA-IICT,343,1306.1224489795918,1826.4705882352941,1300,22,2,3,1,1,3,4,26,0,8,18,9,62,2,2,28,77,11,0,22,176,11,36,8,0,5,34,80,19,61,65,67,55,54,26,13,2,0,0,0,0,0
India,suparsh14,0,28,DA-IICT,85,1320.0,1882.3529411764705,1300,14,1,6,3,0,2,2,7,0,1,8,3,19,0,0,6,19,5,0,7,38,5,9,2,0,0,8,18,2,11,20,18,16,8,6,4,1,1,0,0,0,0
India,Ajudiya_13,0,65,DA-IICT,585,1308.5470085470085,1819.6581196581196,1300,48,2,5,8,0,0,5,47,0,6,22,6,76,4,1,41,152,23,0,43,298,11,78,21,1,6,69,136,38,88,115,138,94,90,35,14,9,1,1,0,0,0
India,bsrkaditya,0,38,DA-IICT,247,1487.0445344129555,2173.469387755102,1500,28,1,7,10,0,6,3,13,2,6,14,3,38,1,2,27,63,14,0,9,115,11,19,4,4,3,28,51,14,26,36,43,36,51,20,13,12,3,4,2,0,1
India,HMK,0,31,DA-IICT,162,1340.7407407407406,1890.625,1300,21,3,2,6,0,5,5,13,0,2,6,4,27,1,0,7,40,5,2,13,89,1,18,7,1,4,9,29,3,23,28,36,29,25,12,6,2,1,0,0,0,0
India,hardik,0,13,DA-IICT,109,1092.6605504587155,1480.952380952381,1100,8,1,2,0,0,0,0,0,2,2,1,0,21,1,0,16,23,1,0,3,76,0,10,3,0,0,7,26,3,37,33,26,6,4,3,0,0,0,0,0,0,0
India,karan_thakkar,0,63,DA-IICT,493,1328.8032454361055,1815.3061224489795,1300,80,6,7,18,2,3,7,42,2,8,33,5,90,5,2,36,130,26,0,38,257,13,58,22,2,10,48,109,21,69,95,101,95,76,42,14,1,0,0,0,0,0
India,amit2112,0,29,DA-IICT,131,1254.9618320610687,1765.3846153846155,1200,19,1,2,2,0,0,2,10,0,2,6,3,27,2,1,7,28,8,0,14,68,4,10,6,0,1,22,21,4,24,34,23,23,16,7,2,2,0,0,0,0,0
India,shreyansh08,42,55,DA-IICT,395,1252.1518987341772,1739.240506329114,1200,32,4,3,5,0,0,2,22,1,7,14,6,66,2,0,33,104,14,0,23,209,8,39,12,0,5,36,99,18,75,83,96,62,51,19,8,1,0,0,0,0,0
India,umang._.panchal,1,48,DA-IICT,388,1182.4742268041236,1625.974025974026,1200,36,2,2,3,0,1,6,24,2,7,14,5,86,3,0,37,88,14,0,23,233,6,39,15,0,4,43,86,13,96,90,99,56,33,10,2,2,0,0,0,0,0
India,het,0,32,DA-IICT,76,1100.0,1473.3333333333333,1100,2,0,0,0,0,0,1,4,0,2,0,4,16,1,0,7,18,1,0,3,53,1,5,1,0,1,11,15,4,23,21,20,8,4,0,0,0,0,0,0,0,0
India,anandpatel9998,0,51,DA-IICT,244,1313.1147540983607,1870.8333333333333,1300,27,3,1,11,0,4,8,9,1,2,10,3,41,2,1,9,60,9,0,17,135,5,25,9,1,1,32,44,14,31,51,69,41,24,14,7,6,0,1,0,0,0
India,shahjay147,0,19,DA-IICT,59,1179.6610169491526,1681.8181818181818,1200,6,0,0,0,0,1,2,4,0,1,3,0,13,0,0,1,16,2,0,4,36,3,4,1,0,1,7,11,4,15,14,16,6,3,5,0,0,0,0,0,0,0
India,ujaval280498,0,47,DA-IICT,451,1260.7538802660754,1656.6666666666667,1300,34,2,0,9,1,4,5,36,2,12,18,6,77,4,0,26,110,17,1,23,241,10,60,16,1,5,59,106,20,73,80,126,95,62,11,4,0,0,0,0,0,0
India,Mihir_Gajera1,0,45,DA-IICT,289,1367.4740484429067,1812.280701754386,1400,51,2,0,4,0,1,6,32,2,5,21,4,50,5,3,20,53,21,0,39,140,14,45,18,0,6,45,81,12,31,41,66,62,58,21,7,3,0,0,0,0,0
India,Gautam_009,0,23,DA-IICT,107,1176.6355140186915,1623.8095238095239,1200,7,0,1,1,0,0,4,7,1,2,5,2,25,1,0,7,20,4,0,5,62,4,13,2,0,1,12,29,7,28,22,27,16,11,3,0,0,0,0,0,0,0
India,artifexbm,0,11,DA-IICT,46,1236.9565217391305,1688.888888888889,1200,4,0,0,0,0,0,1,3,0,1,2,0,4,2,0,6,19,4,0,1,17,1,2,1,0,0,5,19,4,8,10,15,4,7,2,0,0,0,0,0,0,0
India,da_201501181,0,38,DA-IICT,411,1378.588807785888,1828.0487804878048,1400,42,4,12,6,0,2,12,38,2,4,55,6,76,4,0,30,90,45,1,24,184,11,60,13,1,16,39,108,38,33,68,91,98,74,32,11,2,2,0,0,0,0
India,paresh,0,28,DA-IICT,136,1305.1470588235295,1800.0,1200,14,3,1,3,0,1,1,7,0,4,5,2,23,0,0,5,33,5,1,8,79,1,14,3,1,1,12,29,5,17,23,44,21,19,7,3,2,0,0,0,0,0
India,shahsaurabh0605,0,30,DA-IICT,257,1273.5408560311284,1684.313725490196,1300,46,2,5,6,2,1,3,25,0,4,11,3,46,3,0,17,67,13,1,19,136,8,24,13,1,3,30,46,10,32,55,73,53,31,11,2,0,0,0,0,0,0
India,--HK--,0,31,DA-IICT,109,1158.7155963302753,1609.5238095238096,1200,6,1,0,0,0,0,1,7,1,2,1,2,19,1,0,7,34,1,0,4,58,0,11,3,0,2,13,27,4,31,22,32,9,13,1,1,0,0,0,0,0,0
India,rpthegreat,0,22,DA-IICT,256,1162.890625,1692.1568627450981,1100,23,4,2,3,0,0,4,18,2,3,6,4,51,1,0,22,59,3,4,15,155,7,25,7,0,2,18,48,9,80,59,52,24,27,9,4,1,0,0,0,0,0
India,prerakd,0,46,DA-IICT,128,1141.40625,1488.0,1100,7,1,0,8,0,1,2,3,1,2,1,1,27,1,0,9,35,1,0,5,84,2,15,0,0,0,9,24,3,25,45,38,13,3,4,0,0,0,0,0,0,0
India,gbrocks,0,22,DA-IICT,213,1108.4507042253522,1523.8095238095239,1100,10,1,2,1,0,0,0,2,1,5,3,0,54,1,0,21,42,2,0,5,147,1,20,5,0,0,16,43,6,64,72,40,20,14,3,0,0,0,0,0,0,0
India,no_1999,-4,18,DA-IICT,122,1172.1311475409836,1625.0,1200,10,0,1,0,0,0,1,4,0,1,4,2,16,1,0,12,33,4,0,6,65,2,14,4,0,2,13,32,3,31,26,34,16,12,3,0,0,0,0,0,0,0
India,speedster7795,0,8,DA-IICT,36,1361.111111111111,1900.0,1200,3,1,0,1,0,0,0,0,0,0,5,0,4,1,0,5,10,4,0,2,17,1,4,1,1,3,5,14,1,4,9,6,6,8,0,2,0,1,0,0,0,0
India,Meet.Sinojia,0,16,DA-IICT,153,1067.9738562091504,1510.0,1000,7,1,0,0,0,1,1,5,1,1,2,2,26,1,0,19,31,2,0,6,101,2,11,2,0,2,11,30,6,66,35,32,8,7,4,1,0,0,0,0,0,0
